price,Locality,Area,Possession Status,Furnishing Status,Number of Rooms,Number of Bathroom,Number of Parking,View /Facing,Floor No.,Additional Rooms,Age of Property (Years),Total Floor Count,clustering
98.17,Kompally,1785.0,Under Construction,Unfurnished,3,3,2,East,4.0,Pooja Room,0-1,10.0,low
100.0,Gachibowli,1500.0,Ready To Move,Unfurnished,3,3,1,South,2.0,Pooja Room,0-1,10.0,low
54.5,Ameenpur,1175.0,Under Construction,Unfurnished,2,2,1,East,3.0,Pooja Room,0-1,5.0,premium
46.0,Boduppal,1433.0,Under Construction,Unfurnished,2,2,1,East,4.0,Pooja Room,0-1,10.0,low
79.84,Bachupally,1950.0,Under Construction,Unfurnished,3,3,2,East,5.0,Pooja Room,0-1,15.0,high
21.02,Bacharam,1450.0,Under Construction,Unfurnished,2,2,2,East,3.0,Pooja Room,2-4,5.0,low
61.6,Kondapur,1100.0,Under Construction,Unfurnished,2,2,1,East,4.0,Pooja Room,0-1,6.0,premium
70.44,Bachupally,1174.0,Under Construction,Unfurnished,2,2,1,North,5.0,Pooja Room,0-1,10.0,premium
78.5,Medak Road,2237.1499999999996,Ready To Move,Unfurnished,3,2,1,East,3.0,Extra Room,2-4,5.0,high
69.85,Boduppal,1600.0,Ready To Move,Unfurnished,3,2,1,East,2.0,"Study Room,Extra Room",2-4,7.0,low
65.0,Miyapur,1250.0,Under Construction,Unfurnished,2,2,1,North East,3.0,Pooja Room,2-4,10.0,premium
71.47,Pragathi Nagar,1265.0,Under Construction,Unfurnished,2,2,1,East,3.0,Pooja Room,0-1,7.0,premium
37.48,Bacharam,1250.0,Under Construction,Unfurnished,3,2,2,North East,5.0,Pooja Room,0-1,5.0,premium
69.59,Kukatpally,1160.0,Ready To Move,Unfurnished,2,2,1,West,4.0,Pooja Room,0-1,15.0,premium
44.65,Patancheru,950.0,Under Construction,Unfurnished,2,2,2,East,2.0,Pooja Room,0-1,5.0,premium
47.25,Peerzadiguda,1050.0,Under Construction,Unfurnished,2,2,1,East,2.0,Pooja Room,0-1,5.0,premium
44.0,Nizampet,1125.0,Ready To Move,Semi-Furnished,2,3,2,East,5.0,Pooja Room,5-7,5.0,premium
89.68,Bachupally,1950.0,Under Construction,Unfurnished,3,3,1,East,5.0,Pooja Room,0-1,15.0,high
89.85,Bachupally,1950.0,Under Construction,Semi-Furnished,3,3,1,East,6.0,Pooja Room,0-1,15.0,high
85.0,Saidabad,2000.0,Ready To Move,Unfurnished,3,2,1,East,4.0,"Study Room,Extra Room",2-4,8.0,high
78.5,Medak Road,1800.0,Ready To Move,Unfurnished,3,2,1,East,2.0,Extra Room,2-4,5.0,low
60.0,Gajularamaram,1250.0,Ready To Move,Unfurnished,2,2,1,East,1.0,Pooja Room,0-1,5.0,premium
63.84,Bachupally,1120.0,Under Construction,Unfurnished,2,2,1,East,18.0,Extra Room,0-1,6.0,premium
34.35,Kollur,1145.0,Under Construction,Unfurnished,2,2,2,East,6.0,Pooja Room,0-1,9.0,premium
40.48,Bacharam,1350.0,Under Construction,Unfurnished,3,2,2,South East,1.0,Pooja Room,0-1,5.0,low
57.0,Patancheru,1150.0,Ready To Move,Unfurnished,2,2,1,East,5.0,Pooja Room,0-1,5.0,premium
70.0,Boduppal,1000.0,Under Construction,Unfurnished,2,1,1,North,1.0,Study Room,0-1,6.0,premium
